,feature,relative_score,score
8,voucherAmount,"0,039984329","45,243"
15,t_singleItemPrice_diff_rrp,"0,0399472108","45,201"
75,totalOrderShare,"0,0393812455","44,5606"
35,t_order_cheapestPrice,"0,038280247","43,3148"
38,t_order_priceStd_A,"0,0369856148","41,8499"
34,t_order_meanPrice,"0,0366846917","41,5094"
17,t_sizeCodeNumerized,"0,0364229195","41,2132"
24,t_isWeekend_A,"0,035775736","40,4809"
41,t_order_sameArticlesCount_DiffColor,"0,0354541327","40,117"
26,t_customer_boughtArticleCount,"0,0329543941","37,2885"
29,t_order_boughtArticleTypeCount,"0,0304932762","34,5037"
60,orderWeekDay,"0,0292497258","33,0966"
70,customerReturnProb,"0,0287098317","32,4857"
68,colorReturnProb,"0,0272597447","30,8449"
4,quantity,"0,0264513619","29,9302"
28,t_customer_voucherCount,"0,0258766473","29,2799"
13,t_isChristmas,"0,0255843852","28,9492"
11,t_wsv,"0,0239830854","27,1373"
45,t_article_priceChangeSTD_A,"0,0228789936","25,888"
67,orderIsOnGermanHoliday,"0,019586073","22,162"
72,surplusArticleQuantity,"0,0190133911","21,514"
52,t_voucher_isValueVoucher,"0,0177705478","20,1077"
49,t_voucher_is10PercentVoucher,"0,0177184054","20,0487"
40,t_order_sameArticlesCount_DiffSize,"0,0169675559","19,1991"
56,relativeSavings,"0,0164203266","18,5799"
74,surplusArticleColorQuantity,"0,015970135","18,0705"
23,t_paymentWithFee_A,"0,0159244442","18,0188"
18,t_unisize,"0,0156266143","17,6818"
44,t_article_availableColors,"0,0153987788","17,424"
36,t_order_mostExpensivePrice,"0,0152401424","17,2445"
14,t_singleItemPrice,"0,0142610155","16,1366"
61,orderDayOfYear,"0,0133919177","15,1532"
27,t_customer_orderCount,"0,012738813","14,4142"
22,t_reducedPaymentMethod_A,"0,0126929454","14,3623"
39,t_order_hasVoucher_A,"0,0125202571","14,1669"
30,t_order_boughtArticleCount,"0,0110646023","12,5198"
43,t_article_availableSizes,"0,0099321416","11,2384"
50,t_voucher_is15PercentVoucher,"0,0088984862","10,0688"
71,productGroupReturnProb,"0,0082791414","9,368"
31,t_order_duplicateCount,"0,0078358432","8,8664"
53,t_unisizeOffset,"0,0069201709","7,8303"
25,t_isOneSize_A,"0,0064692723","7,3201"
69,sizeReturnProb,"0,0064637929","7,3139"
20,t_isTypeBelt,"0,0064203999","7,2648"
37,t_order_totalPrice_diff_voucherAmount,"0,0063030355","7,132"
51,t_voucher_isGiftVoucher,"0,0053864794","6,0949"
42,t_article_boughtCountGlobal,"0,0052253684","5,9126"
63,orderWeekOfYear,"0,0045079253","5,1008"
66,orderSeason,"0,0043663456","4,9406"
48,t_order_article_sameArticlesCount_DiffColor,"0,0035478878","4,0145"
1,colorCode,"0,0035355151","4,0005"
6,rrp,"0,0032790455","3,7103"
57,orderYear,"0,0031189951","3,5292"
19,t_isTypePants,"0,0028660606","3,243"
73,surplusArticleSizeQuantity,"0,0027361466","3,096"
5,price,"0,0021849404","2,4723"
32,t_order_sameArticlesCount,"0,0021565714","2,4402"
9,deviceID,"0,0020924982","2,3677"
16,t_isGift,"0,0015057644","1,7038"
65,orderTotalDay,"0,0015054993","1,7035"
55,totalSavings,"0,0015050574","1,703"
21,t_isTypeTop,"0,001427109","1,6148"
33,t_order_totalPrice,"0,0010743971","1,2157"
47,t_order_article_sameArticlesCount_DiffSize,"0,0010698899","1,2106"
76,voucherSavings,"0,0010318879","1,1676"
77,customerAvgUnisize,"0,0009164677","1,037"
12,t_ssv,"0,0005717981","0,647"
64,orderQuarter,"0,0005693235","0,6442"
46,t_order_article_sameArticlesCount,"0,00056897","0,6438"
54,productPrice,"0,0005589834","0,6325"
10,paymentMethod,"0,0005052503","0,5717"
0,articleID,0,0
2,sizeCode,0,0
3,productGroup,0,0
7,voucherID,0,0
58,orderMonth,0,0
59,orderDay,0,0
62,orderWeek,0,0
